id_exame,numero_cpf,paciente_nome,data_coleta,tipo_exame,resultado_valor,unidade,valor_referencia_min,valor_referencia_max,status_resultado,id_laboratorio,nome_laboratorio
9e44580e-4f2b-4110-b65c-da6331545b7e,56870942374,Bruno Ribeiro,2023-10-05,Triglicerideos,132.0,mg/dL,0.0,150.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
1ee242e9-04f3-41d4-9713-b7e6b1cb030d,56870942374,Bruno Ribeiro,2023-05-03,Triglicerideos,308.2,mg/dL,0.0,150.0,Critico,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
7d14a977-08af-481f-b5b0-e6d61107ea3a,56870942374,Bruno Ribeiro,2023-07-03,Glicemia de Jejum,136.6,mg/dL,70.0,99.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
eb7c6de0-ab1f-4195-a243-be6ae301f2ae,56870942374,Bruno Ribeiro,2024-02-15,Glicemia de Jejum,127.1,mg/dL,70.0,99.0,Alterado,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
9bca08f9-742f-410e-9de5-bdb9f2e5cdd8,13562497873,Stella Cardoso,2023-11-15,Triglicerideos,177.7,mg/dL,0.0,150.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
b94883e3-8281-41d5-8564-b2a6d0ce2a6a,61205783407,Davi Nogueira,2023-01-09,Colesterol Total,194.7,mg/dL,0.0,200.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
0d4f40cf-5421-4296-bd26-4fe33912ce5b,61205783407,Davi Nogueira,2023-10-26,HbA1c,4.9,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
d2ac08ce-463f-4ed7-adc4-890589889746,61205783407,Davi Nogueira,2024-09-29,Triglicerideos,141.3,mg/dL,0.0,150.0,Normal,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
82ba1a0d-0cc7-4b36-869d-2bd29b9eb0dc,93461205842,André Sales,2024-08-28,Triglicerideos,172.2,mg/dL,0.0,150.0,Alterado,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
7fee163a-3b60-492b-a392-0ecd05fa10f1,93461205842,André Sales,2024-07-13,HbA1c,4.6,%,4.0,5.6,Normal,8ca08d04-5b7f-43a7-bede-c2bb7dce81aa,Lab da Luz
99c2c261-1775-4560-a39b-2e2e1eee9c18,15968723068,Isaac Nunes,2024-02-24,Glicemia de Jejum,83.0,mg/dL,70.0,99.0,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
12c79c08-c100-4663-b2fa-fe5a38e75903,15968723068,Isaac Nunes,2024-07-08,HbA1c,4.8,%,4.0,5.6,Normal,8838e9a0-7386-4a82-89ca-1aa09fb4fc7f,Lab Siqueira
6524f32b-a660-4392-9426-c4cd08d8c3c5,90785123423,Isis da Costa,2023-12-10,Glicemia de Jejum,118.1,mg/dL,70.0,99.0,Alterado,84f27623-63c9-4f7d-bf67-371489887636,Lab Mendonça
