id_consulta,cpf_paciente,nome_paciente,data_nascimento,sexo,data_consulta,especialidade,cid_diagnostico,descricao_diagnostico,id_medico,nome_medico
80b017a7-d520-4415-9c76-4f7dd1c87311,56870942374,Bruno Ribeiro,1958-11-25,M,2023-02-09,Nutrologia,E66,Obesidade,635e7849-c05c-448f-902a-5930d433e303,Dra. Stella Farias
08992f21-4ec4-496f-a676-6fc3b5f21098,56870942374,Bruno Ribeiro,1958-11-25,M,2023-11-09,Endocrinologia,E66,Obesidade,b43f7643-acd6-4f86-84b2-f2681f935fe8,Mateus Souza
897911b4-8d5e-4890-b184-36a5e960a988,13562497873,Stella Cardoso,1958-01-22,F,2023-03-13,Cardiologia,E11,Diabetes mellitus tipo 2,5df79933-d5a6-40f0-96e9-74131b3028bd,Dr. Lucas Gabriel da Rosa
f92035d9-c038-4493-83e5-49f01f7709f6,13562497873,Stella Cardoso,1958-01-22,F,2023-04-29,Cardiologia,E11,Diabetes mellitus tipo 2,c97b2b9a-1e5d-4318-a715-94ea27f03edf,Luna Melo
0ce925de-104b-44c3-9fe4-d90c34dcb253,61205783407,Davi Nogueira,2000-10-13,M,2023-04-22,Nutrologia,Z00,Consulta de rotina,c97b2b9a-1e5d-4318-a715-94ea27f03edf,Luna Melo
059b90fb-e857-4dbe-9469-09329dfec923,61205783407,Davi Nogueira,2000-10-13,M,2024-09-12,Clinica Geral,R73,Glicemia elevada / Pre-diabetes,635e7849-c05c-448f-902a-5930d433e303,Dra. Stella Farias
935af1f9-0c3e-4fde-9d00-248b5bb8da2f,93461205842,André Sales,1960-10-21,M,2023-02-15,Nutrologia,Z00,Consulta de rotina,5df79933-d5a6-40f0-96e9-74131b3028bd,Dr. Lucas Gabriel da Rosa
19ab3ea6-77eb-4288-8518-13e1190e821a,93461205842,André Sales,1960-10-21,M,2024-03-17,Clinica Geral,E66,Obesidade,b43f7643-acd6-4f86-84b2-f2681f935fe8,Mateus Souza
ae67a13b-8d68-48f7-962c-361f9929887b,93461205842,André Sales,1960-10-21,M,2023-11-04,Cardiologia,Z00,Consulta de rotina,3d60c462-ce2d-4ac1-ab14-0765b867c570,Anthony Sousa
592cc484-ec61-468b-9bfe-6821ab602cff,93461205842,André Sales,1960-10-21,M,2023-05-11,Endocrinologia,E11,Diabetes mellitus tipo 2,8ab61bd6-bc97-456b-885d-7e6c3d26a368,Ester Carvalho
1283bb65-371a-4d80-8e33-bc7dc86146b8,15968723068,Isaac Nunes,1992-10-03,M,2024-09-22,Cardiologia,Z00,Consulta de rotina,ff76edaa-fdba-4334-92ff-2cc005639054,Luigi Dias
3647fd79-9ac8-4e63-a5d4-d8bf8507bc01,15968723068,Isaac Nunes,1992-10-03,M,2023-01-01,Cardiologia,Z00,Consulta de rotina,8ab61bd6-bc97-456b-885d-7e6c3d26a368,Ester Carvalho
a4e2c83e-c8ff-458e-a742-c3f37ecf1d3d,15968723068,Isaac Nunes,1992-10-03,M,2024-03-16,Cardiologia,Z00,Consulta de rotina,8d98d556-575a-4577-8df8-0556a5b1f054,Mateus da Rocha
243549f6-d380-48e3-aee9-7d908363bbf9,15968723068,Isaac Nunes,1992-10-03,M,2024-06-07,Nutrologia,R73,Glicemia elevada / Pre-diabetes,8d98d556-575a-4577-8df8-0556a5b1f054,Mateus da Rocha
b26ad3c1-9993-4516-b632-b27f6751d48d,90785123423,Isis da Costa,1955-12-10,F,2024-11-10,Cardiologia,Z00,Consulta de rotina,8ab61bd6-bc97-456b-885d-7e6c3d26a368,Ester Carvalho
01ed1058-5b9f-45c8-92a6-c33347743b0b,90785123423,Isis da Costa,1955-12-10,F,2024-11-19,Cardiologia,Z00,Consulta de rotina,8d98d556-575a-4577-8df8-0556a5b1f054,Mateus da Rocha
e09bf647-dd57-47a1-9f65-bdb452c2652c,09574681300,Dom Sá,2000-04-13,M,2024-05-01,Clinica Geral,E66,Obesidade,8d98d556-575a-4577-8df8-0556a5b1f054,Mateus da Rocha
c682e879-9ea8-4de3-a9cb-e64d15ed7749,09574681300,Dom Sá,2000-04-13,M,2024-05-21,Nutrologia,E66,Obesidade,635e7849-c05c-448f-902a-5930d433e303,Dra. Stella Farias
