id_atendimento,documento_paciente,nome_completo,data_atendimento,peso_kg,altura_cm,imc,classificacao_imc,circunferencia_abdominal_cm,plano_alimentar,meta_calorica,id_nutricionista,nome_nutricionista
b7c6548d-4337-4192-8646-bb44adb82033,568.709.423-74,Bruno Ribeiro,2023-12-19,95.7,165,35.2,Obesidade Grau II,93.8,Plano low carb com aumento de proteinas magras,2000,2327a0da-cc23-4680-aae8-ce06f9644042,Dom Cassiano
7585a395-8a21-4af1-ac0b-49613f700acd,568.709.423-74,Bruno Ribeiro,2024-05-03,94.9,165,34.9,Obesidade Grau I,94.4,Plano low carb com aumento de proteinas magras,1400,8d4bdb48-02d7-4ce6-9ccc-9be4f25282df,Davi Miguel Ferreira
2b170e03-ce80-4584-9f57-56664bbc8d08,568.709.423-74,Bruno Ribeiro,2024-09-03,93.80000000000001,165,34.5,Obesidade Grau I,91.4,Dieta mediterranea com controle de gorduras saturadas,1400,bd4dd6cf-84bc-4fef-9ad3-f234265e99d0,Dra. Luana Ramos
bcefa7f8-d45c-4341-9d7b-8a285260d272,568.709.423-74,Bruno Ribeiro,2024-02-26,93.00000000000001,165,34.2,Obesidade Grau I,96.6,Dieta balanceada com fracionamento em 5 refeicoes,2000,2327a0da-cc23-4680-aae8-ce06f9644042,Dom Cassiano
e70f132e-1fb7-4ea3-a3fd-1bdb09f41bd4,568.709.423-74,Bruno Ribeiro,2024-01-23,92.60000000000001,165,34.0,Obesidade Grau I,88.9,Dieta mediterranea com controle de gorduras saturadas,1800,8d4bdb48-02d7-4ce6-9ccc-9be4f25282df,Davi Miguel Ferreira
9adeee2d-d885-48bf-8dbd-f69bb0ad8601,135.624.978-73,Stella Cardoso,2024-06-13,81.10000000000001,162,30.9,Obesidade Grau I,86.0,Plano low carb com aumento de proteinas magras,1800,2327a0da-cc23-4680-aae8-ce06f9644042,Dom Cassiano
03bea4de-e616-40f6-bcd6-eea87de2951a,612.057.834-07,Davi Nogueira,2024-02-27,82.7,169,29.0,Sobrepeso,87.0,Dieta mediterranea com controle de gorduras saturadas,1400,bd4dd6cf-84bc-4fef-9ad3-f234265e99d0,Dra. Luana Ramos
f7d2e8eb-b0d6-46a2-8ec5-edc50e004a08,612.057.834-07,Davi Nogueira,2023-04-24,82.4,169,28.9,Sobrepeso,87.0,Dieta balanceada com fracionamento em 5 refeicoes,2200,bd4dd6cf-84bc-4fef-9ad3-f234265e99d0,Dra. Luana Ramos
8d32df20-857f-43fe-85dd-d48d04640f62,612.057.834-07,Davi Nogueira,2024-05-18,81.7,169,28.6,Sobrepeso,75.6,Dieta mediterranea com controle de gorduras saturadas,1800,662af935-148e-4fff-9264-bb81d9821de8,Alexia da Mata
7742e0f0-e32d-45e8-98fa-7dbd8478de9b,612.057.834-07,Davi Nogueira,2024-07-01,81.7,169,28.6,Sobrepeso,89.2,Dieta hipocalorica com restricao de carboidratos simples,1600,ea2b497c-9cac-42c1-800a-2719d881af04,Ana Julia Novais
f3f9b4eb-9ea9-443b-95e9-a5b2475f9b0a,612.057.834-07,Davi Nogueira,2023-10-03,80.2,169,28.1,Sobrepeso,76.9,Dieta mediterranea com controle de gorduras saturadas,2000,bd4dd6cf-84bc-4fef-9ad3-f234265e99d0,Dra. Luana Ramos
c1e5c1af-5082-474a-b170-97ef97d6a578,612.057.834-07,Davi Nogueira,2023-04-03,79.10000000000001,169,27.7,Sobrepeso,84.0,Dieta mediterranea com controle de gorduras saturadas,1400,2327a0da-cc23-4680-aae8-ce06f9644042,Dom Cassiano
6c738c8d-180b-4509-8743-ff6b99310b04,934.612.058-42,André Sales,2023-11-16,116.10000000000001,186,33.6,Obesidade Grau I,101.6,Dieta balanceada com fracionamento em 5 refeicoes,1800,8d4bdb48-02d7-4ce6-9ccc-9be4f25282df,Davi Miguel Ferreira
